"project","pair_id","expected_type","expected_scope","view","top_k","method_top_k","method_count","avg_exhaustive_similarity","avg_constrained_similarity","avg_similarity_delta","max_exhaustive_similarity","max_constrained_similarity","max_non_constructor_constrained_similarity","best_left_method","best_right_method","best_non_constructor_left_method","best_non_constructor_right_method","avg_candidate_reduction","total_exhaustive_candidate_pairs","total_constrained_candidate_pairs","runtime_ms","status","error","transformation_tag","difficulty","limitation_tag","notes"
"T3","java_t3_param_threshold_08","T3","FULL","DISCOVRE_NUMERIC","8","2","4","0.6216722806639017","0.6216722806639017","0.0","1.0","1.0","0.9866891226556067","StatementBase.<init>()V","StatementThresholdParam.<init>()V","StatementBase.clampAndSum([I)I","StatementThresholdParam.clampAndSum([II)I","0.2304761904761905","84","68","1450","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Literal threshold becomes parameter"
"T3","java_t3_param_threshold_08","T3","FULL","RAW_HASH_BUCKET","8","2","4","0.6216722806639017","0.582400078242476","0.039272202421425706","1.0","1.0","0.9129336463032373","StatementBase.<init>()V","StatementThresholdParam.<init>()V","StatementBase.clampAndSum([I)I","StatementThresholdParam.clampAndSum([II)I","0.2857142857142857","84","50","1446","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Literal threshold becomes parameter"
"T3","java_t3_param_threshold_08","T3","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.6216722806639017","0.6008389473305683","0.020833333333333343","1.0","1.0","0.9866891226556067","StatementBase.<init>()V","StatementThresholdParam.<init>()V","StatementBase.clampAndSum([I)I","StatementThresholdParam.clampAndSum([II)I","0.2807142857142857","84","51","1462","success","","STATEMENT_INSERT_DELETE","L2","THRESHOLDS_HEURISTIC","Literal threshold becomes parameter"
"InternalHelper","java_t4_inline_helper_01","T4_WEAK","FULL","DISCOVRE_NUMERIC","8","2","4","0.6910850195942697","0.6910850195942697","0.0","1.0","1.0","0.8181818181818182","InlineScore.<init>()V","HelperScore.<init>()V","InlineScore.score([I)I","HelperScore.score([I)I","0.15624999999999997","64","53","1444","success","","INLINE_TO_HELPER","L1","CALL_GRAPH_NOT_EXPANDED","Tests professor question about internal function calls"
"InternalHelper","java_t4_inline_helper_01","T4_WEAK","FULL","RAW_HASH_BUCKET","8","2","4","0.6910850195942697","0.49924242424242427","0.19184259535184547","1.0","1.0","0.36363636363636365","InlineScore.<init>()V","HelperScore.<init>()V","InlineScore.score([I)I","HelperScore.score([I)I","0.38333333333333336","64","29","1459","success","","INLINE_TO_HELPER","L1","CALL_GRAPH_NOT_EXPANDED","Tests professor question about internal function calls"
"InternalHelper","java_t4_inline_helper_01","T4_WEAK","FULL","HYBRID_NUMERIC_HASH","8","2","4","0.6910850195942697","0.5446969696969697","0.14638804989730003","1.0","1.0","0.5454545454545454","InlineScore.<init>()V","HelperScore.<init>()V","InlineScore.score([I)I","HelperScore.score([I)I","0.3541666666666667","64","32","1491","success","","INLINE_TO_HELPER","L1","CALL_GRAPH_NOT_EXPANDED","Tests professor question about internal function calls"
"InternalHelper","java_t4_helper_inline_02","T4_WEAK","FULL","DISCOVRE_NUMERIC","8","2","6","0.5678359697865517","0.5678359697865517","0.0","1.0","1.0","0.9090909090909091","HelperScore.<init>()V","InlineScore.<init>()V","HelperScore.score([I)I","InlineScore.score([I)I","0.055555555555555546","85","80","1546","success","","HELPER_TO_INLINE","L1","CALL_GRAPH_NOT_EXPANDED","Reverse direction of inline helper pair"
"InternalHelper","java_t4_helper_inline_02","T4_WEAK","FULL","RAW_HASH_BUCKET","8","2","6","0.5678359697865517","0.507229909180491","0.06060606060606061","1.0","1.0","0.6363636363636364","HelperScore.<init>()V","InlineScore.<init>()V","HelperScore.score([I)I","InlineScore.score([I)I","0.17070707070707072","85","63","1559","success","","HELPER_TO_INLINE","L1","CALL_GRAPH_NOT_EXPANDED","Reverse direction of inline helper pair"
"InternalHelper","java_t4_helper_inline_02","T4_WEAK","FULL","HYBRID_NUMERIC_HASH","8","2","6","0.5678359697865517","0.5223814243320062","0.04545454545454545","1.0","1.0","0.6363636363636364","HelperScore.<init>()V","InlineScore.<init>()V","HelperScore.score([I)I","InlineScore.score([I)I","0.15555555555555556","85","64","1452","success","","HELPER_TO_INLINE","L1","CALL_GRAPH_NOT_EXPANDED","Reverse direction of inline helper pair"
"InternalHelper","java_t4_inline_guard_03","T4_WEAK","FULL","DISCOVRE_NUMERIC","8","2","4","0.6768755777331167","0.6768755777331167","0.0","1.0","1.0","0.9090909090909091","InlineGuard.<init>()V","HelperGuard.<init>()V","InlineGuard.countValid([I)I","HelperGuard.countValid([I)I","0.2028106697224344","79","63","1533","success","","INLINE_TO_HELPER","L1","CALL_GRAPH_NOT_EXPANDED","Guard condition moved to helper"
"InternalHelper","java_t4_inline_guard_03","T4_WEAK","FULL","RAW_HASH_BUCKET","8","2","4","0.7017555908353064","0.6168831168831168","0.08487247395218955","1.0","1.0","0.9090909090909091","InlineGuard.<init>()V","HelperGuard.<init>()V","InlineGuard.countValid([I)I","HelperGuard.countValid([I)I","0.40003501400560226","77","35","1543","success","","INLINE_TO_HELPER","L1","CALL_GRAPH_NOT_EXPANDED","Guard condition moved to helper"
